# id	acronyms (comma-separated, primary first) — generated by build_rhythm_acronyms.py
ecg00001	1AVB
ecg12081	PRIE,SB,VEB,2AVB1
ecg12191	IDC,AF,LAFB,CRBBB
ecg12203	IDC,AF,BBB,ALS
ecg12208	AQW,LAFB,LVH,IDC,RWC,AF,STC
ecg12275	STDD,TWO,IDC,AF,STC
ecg12287	TWC,IDC,AF
ecg12321	IDC,AF
ecg12420	TWO,LVQRSAL,LVH,IDC,TWC,AF
ecg12454	IDC,AF
ecg12612	IDC,AF
ecg13160	CRBBB,AF
ecg13175	AF,CCR,LVQRSAL,ARS
ecg13203	STDD,AF,CCR,STC
ecg13287	IRBBB,AF
ecg13388	STDD,BBB,TWO,AF,STC
ecg13437	TWC,AF,LAFB
ecg13471	APACE,AF,ALS
ecg13558	AF,LVH,ALS
ecg13702	STDD,AF,TWO,QTIE
ecg13813	APACE,AF
ecg13854	APACE,AF
ecg14010	APACE,AF
ecg14032	STC,AF,LVH,APACE
ecg14042	AQW,AF,TWC,APACE
ecg14192	RBBB,AF,LVH,PVC
ecg14219	AF,PVC
ecg14344	AF,LVH,PVC
ecg14363	TWC,AF,LVH,PVC
ecg14369	STDD,TWO,AF,LVH,PVC
ecg14387	STDD,AF,TWO,PVC
ecg14404	TWO,AF,PVC
ecg14511	RBBB,AF
ecg14610	AQW,RVH,ARS,LVQRSAL,TWC,AF
ecg14660	STTU,AF,STC,ERV
ecg14714	STDD,TWO,AF,LVH,STC
ecg14844	AF,LVH
ecg14951	AF
ecg15063	AF,LVH
ecg15080	AF
ecg15107	AF
ecg15123	TWC,AF
ecg15145	UW,AF,LVH
ecg15181	STC,AF
ecg15189	AF
ecg15494	AF
ecg15500	STC,AF
ecg15577	AF
ecg15665	AF
ecg15877	TWC,AF
ecg15957	TWC,AF,LVH
ecg16016	AF
ecg16175	AF
ecg16437	AF
ecg16610	TWC,AF,STDD,STC
ecg16614	TWC,AF,TWO,QTIE
ecg16771	STC,AF,LVH,STDD
ecg16804	STC,AF,LVH
ecg16904	UW,AF,LVH
ecg16920	AF,LVH
ecg16958	TWC,AF,LVH
ecg16985	AF
ecg17294	STDD,AF,STC,TWO
ecg17321	TWC,AF
ecg17346	AF,LVQRSAL
ecg17401	AF
ecg17603	AF
ecg17740	TWC,AF
ecg18112	TWC,AF
ecg18118	AF
ecg18170	AF
ecg18327	CRBBB,SVT,AF
ecg18336	TWC,CRBBB,UW,AF
ecg18343	TWC,CRBBB,AF
ecg18465	STC,IRBBB,AF
ecg18474	STC,LAFB,AF,ALS
ecg18514	STC,LVH,LAFB,AF
ecg18518	TWO,RWC,LAFB,AF
ecg18577	TWC,ALS,AF
ecg18671	APACE,AF
ecg18809	AF,RWC,ARS,LVQRSAL
ecg19008	TWC,AF
ecg19016	TWC,RWC,AF
ecg19066	STC,RWC,AF
ecg19088	TWC,AF
ecg19643	TWC,SB,IDC
ecg19655	STDD,ST,TWO,IDC,STC
ecg19776	TWC,ST,ALS,AT
ecg19843	TWC,ST,CRBBB,PVC
ecg19878	CCR,SR
ecg20020	STTU,IDC,SB,ERV
ecg20033	SB
ecg20310	LVQRSAL,SR
ecg20385	TWC,ST
ecg20448	ST
ecg20612	ARHY
ecg21039	CLBBB,ST
ecg21104	CRBBB,SR,ALS
ecg21123	CRBBB,SB,LVQRSAL,ARS
ecg21141	TWO,LVH,SB,TWC,CRBBB
ecg21174	STTU,SB,CRBBB,PPW
ecg21269	CRBBB,SB
ecg21414	AQW,CRBBB,ST,WPW
ecg21440	CRBBB,ST,LVH
ecg21457	TWC,CRBBB,ST,LVQRSAL
ecg21477	TWC,TWO,CCR,ARHY
ecg21508	SB,CCR,SA
ecg21533	TWO,SB,CCR,TWC
ecg21581	SB,CCR
ecg21667	TWO,SR,CCR,TWC
ecg21701	SR,CCR
ecg21874	QTIE,BBB,ARHY,PVC
ecg21887	BBB,SB,ALS
ecg21962	AQW,STTU,BBB,STDD,SR,TWC,LVH,STC
ecg21976	TWO,BBB,ST,LVH,STDD,STC
ecg21980	AQW,BBB,ST,PWC,RWC,TWC
ecg22089	ARHY
ecg22220	SB,ALS
ecg22222	SB,ALS
ecg22355	SB,RWC,ALS
ecg22481	AQW,ST,ALS
ecg22523	STDD,ST,TWO,ALS,STC
ecg22626	QTIE,SB
ecg22787	APACE
ecg22822	APACE
ecg22843	APACE
ecg22903	APACE
ecg23009	APACE
ecg23061	APACE
ecg23157	PVC,SB,LVH
ecg23227	STC,SB,PVC
ecg23595	AQW,STTU,TPW,ARS,LVQRSAL,TWO,SB,TWC
ecg23620	SR,ARS
ecg23651	ST,ARS
ecg23818	TWC,SB,LAFB
ecg24025	SB,SA
ecg24081	STC,SB,LVH,SA
ecg24088	LVH,SB,SA
ecg24119	SB,SA
ecg24125	SB,SA
ecg24158	TWC,SB,SA
ecg24368	STTU,SB,ERV
ecg24546	WPW,SB
ecg24575	SB
ecg24577	SB
ecg24604	SB
ecg24688	SB
ecg24705	LVH,SB
ecg24744	SB
ecg24769	LVH,SB
ecg24782	SB
ecg24951	TWC,SB,TWO
ecg24963	SB
ecg25000	SB
ecg25318	SB
ecg25410	SB
ecg25499	SB
ecg25571	SB
ecg25589	SB
ecg25815	SB
ecg25824	SB
ecg25860	LVH,SB
ecg25991	SB
ecg25997	SB
ecg26060	SB
ecg26140	LVH,SB
ecg26153	SB
ecg26623	SB
ecg26628	LVH,SB
ecg26670	SB
ecg26693	TWC,SB,LVH,TWO
ecg26720	TWC,SB,LVH
ecg26740	SB
ecg26843	SB
ecg26990	UW,SB
ecg27015	SB
ecg27133	STC,SB,LVH
ecg27438	SB
ecg27466	AQW,SB
ecg27595	SB
ecg27665	SB
ecg27681	SB
ecg27706	SB
ecg27864	SB
ecg27929	SB
ecg27940	SB
ecg28243	TWO,UW,SB,TWC,LVH
ecg28820	SB
ecg28886	LVH,SB
ecg28968	TWC,SB,LVH,TWO
ecg28985	SB
ecg29035	SB
ecg29122	LVH,SB
ecg29325	SB
ecg29397	LVH,SB
ecg29398	STTU,SB
ecg29601	SB
ecg29611	SB
ecg29689	SB
ecg29701	SB
ecg30061	SB
ecg30473	LVH,SB
ecg30515	STTU,SB
ecg30521	SB
ecg30638	STC,SB
ecg30651	QTIE,SB
ecg30682	SB
ecg30781	SB
ecg30796	SB
ecg30858	SB
ecg31019	SB
ecg31033	SB
ecg31128	SB
ecg31466	SB
ecg31674	LVH,SB
ecg31816	SB
ecg31916	SB
ecg32109	STC,SB
ecg32250	STC,SB,LVH
ecg32331	SB
ecg32384	TWC,SB
ecg32452	LVH,SB
ecg32546	LVH,SB
ecg32597	STTU,SB,LVH
ecg32641	SB
ecg32646	SB
ecg32893	SB
ecg33308	SB
ecg33366	SB
ecg33564	SB
ecg33637	SB
ecg33886	SB
ecg33889	SB
ecg34010	LVH,SB
ecg34130	SB
ecg34358	STTU,SR,RWC,SA
ecg34718	SA
ecg34772	SA
ecg34935	SA
ecg34955	STC,SA
ecg35064	SA
ecg35277	SA
ecg35521	SA
ecg35532	SA
ecg35550	SA
ecg35595	SA
ecg35636	SA
ecg35640	SA
ecg35765	SA
ecg35866	SR
ecg35892	SR
ecg36041	SR
ecg36160	SR
ecg36324	SR
ecg36441	SR
ecg36461	TWC,SR
ecg36465	SR
ecg36536	SR
ecg36605	SR
ecg36651	SR
ecg36875	SR
ecg36901	SR
ecg36904	SR
ecg37043	SR
ecg37087	SR
ecg37108	SR
ecg37215	SR
ecg37230	STC,SR
ecg37356	AQW,SR,TWC,TWO
ecg37459	SR
ecg37807	SR
ecg37974	SR
ecg38072	SR
ecg38121	TWC,SR
ecg38125	SR
ecg38382	TWC,SR,LVH
ecg39096	SR
ecg39514	SR
ecg39977	SR
ecg39982	SR
ecg40002	SR
ecg40038	SR
ecg40273	SR
ecg40387	SR
ecg40456	SR
ecg40507	SR
ecg40540	SR
ecg40556	SR
ecg41129	SR
ecg41235	ST
ecg41359	ST
ecg41369	ST
ecg41514	TWO,ST
ecg41589	ST
ecg41781	TWC,ST
ecg41940	TWC,ST
ecg41964	ST
ecg41993	STC,RWC,ST
ecg42084	TWO,ST,LVH,RWC,TWC,PPW
ecg42154	ST
ecg42162	ST
ecg42388	ST
ecg42474	ST
ecg42487	STC,ST
ecg42639	ST
ecg42899	ST
ecg42944	ST
ecg42996	STC,ST
ecg43058	ST
ecg43095	LVH,ST
ecg43103	TWC,ST,LVQRSAL
ecg43251	ST
ecg43254	TWO,ST
ecg43314	ST
ecg43492	ST
ecg43654	STC,ST
ecg43683	STC,ST
ecg43737	ST
ecg43965	STC,ST
ecg44000	ST
ecg44053	ST
ecg44259	ST
ecg44293	ST
ecg44449	ST
ecg44579	TWO,ST
ecg44652	ST
ecg44696	ST
ecg44835	ST
ecg44921	ST
ecg45013	STC,SVT
ecg45040	STC,SVT
ecg45168	PVT
