# id	acronyms (comma-separated, primary first) — generated by build_rhythm_acronyms.py
ecg00001	1AVB
ecg00142	LVH,SB
ecg00143	1AVB,SB,APB,LVH
ecg00144	SB
ecg00145	RBBB,AFIB,LVQRSAL
ecg00146	TWC,SB
ecg00147	ST
ecg00148	SB
ecg00149	STTC,ST,1AVB,IDC,LAFB
ecg00150	SR
ecg00151	TWC,SB
ecg00152	TWC,SB
ecg00153	SB
ecg00154	ST,LVQRSAL
ecg00155	SB
ecg00156	SB
ecg00157	AFIB
ecg00158	SB
ecg00159	ST
ecg00160	SB
ecg00161	TWC,AFIB
ecg00162	ST
ecg00163	SB
ecg00164	STDD,AFIB,STTC,TWO
ecg00165	SB
ecg00166	SB
ecg00167	SB
ecg00168	SB
ecg00169	STTC,SB,ALS
ecg00170	1AVB,SB
ecg00171	TWC,AFIB
ecg00172	SB
ecg00173	STTC,SB,APB
ecg00174	STTC,AFIB,RBBB
ecg00175	SB
ecg00176	STDD,AF,LVH,STTC,TWC
ecg00177	STDD,AFIB,IDC,STTC,TWC,VPB
ecg00178	LVH,SB
ecg00179	1AVB,SB
ecg00180	SB
ecg00181	LVH,SR
ecg00182	TWC,SB
ecg00183	AVB,AF
ecg00184	STDD,AFIB,STTC
ecg00185	APB,SB
ecg00186	SB
ecg00187	IDC,AFIB,LAFB
ecg00188	TWC,AF
ecg00189	LVH,SB
ecg00190	SB
ecg00191	STDD,AFIB,STTC,TWC
ecg00192	SR
ecg00193	1AVB,SB,LAFB
ecg00194	STDD,AFIB,STTC,TWC
ecg00195	TWC,AFIB,LVH
ecg00196	SB
ecg00197	SB
ecg00198	STTU,SB,TWC
ecg00199	VET,SB
ecg00200	AFIB
ecg00201	SB
ecg00202	SB
ecg00203	SR
ecg00204	SR
ecg00205	SB
ecg00206	SB
ecg00207	STTC,AFIB,IDC,LVH
ecg00208	SB
ecg00209	IDC,SB
ecg00210	SB
ecg00211	SB
ecg00212	ST
ecg00213	APB,SB
ecg00214	SB
ecg00215	SB
ecg00216	APB,SB
ecg00217	TWC,SB,LVH
ecg00218	1AVB,ST
ecg00219	SB
ecg00220	ST
ecg00221	SR
ecg00222	LVH,SB
ecg00223	SR
ecg00224	TWC,SB
ecg00225	STTC,AFIB,ALS,LVQRSAL
ecg00226	SB
ecg00227	TWC,AFIB
ecg00228	TWC,SB
ecg00229	LVH,SB
ecg00230	LAFB,SR,APB
ecg00231	SB
ecg00232	STTC,ST
ecg00233	SB
ecg00234	TWC,SB,LVH,RBBB
ecg00235	SB
ecg00236	LVH,SR
ecg00237	AFIB
ecg00238	TWC,SB,LVH
ecg00239	AVB,AF
ecg00240	SB
ecg00241	SB
ecg00242	SB
ecg00243	SB
ecg00244	TWC,AFIB
ecg00245	ST
ecg00246	SB
ecg00247	SB
ecg00248	AQW,SB,MI,MI_LAT,STDD,STTU
ecg00249	SB
ecg00250	TWC,SB
ecg00251	AFIB
ecg00252	SR
ecg00253	SB
ecg00254	RBBB,SB,LVH
ecg00255	TWC,SB
ecg00256	STTC,SR,VPB
ecg00257	UW,AFIB,QTIE,RBBB
ecg00258	TWC,AFIB,UW
ecg00259	TWC,AFIB
ecg00260	TWC,SB,VPB
ecg00261	SB,ALS
ecg00262	ST
ecg00263	TWC,AFIB,LVH
ecg00264	RBBB,SB
ecg00265	ST,ARS
ecg00266	TWC,SR,1AVB,ALS
ecg00267	AQW,AFIB,STDD,STTC,TWC
ecg00268	SR
ecg00269	1AVB,SB
ecg00270	ST
ecg00271	SR
ecg00272	SR
ecg00273	SB
ecg00274	TWC,AF,AVB
ecg00275	SB
ecg00276	SB
ecg00277	SB
ecg00278	SB
ecg00279	TWC,AF
ecg00280	SB
ecg00281	ST
ecg00282	TWC,AFIB,LVH
ecg00283	SB
ecg00284	SR
ecg00285	ST
ecg00286	AFIB
ecg00287	VET,ST
ecg00288	SB
ecg00289	LVH,SB
ecg00290	LVH,SB
ecg00291	AFIB
ecg00292	TWC,AFIB
ecg00293	RBBB,SR
ecg00294	ST
ecg00295	SB,LVQRSAL
ecg00296	TWC,AFIB
ecg00297	AFIB,LVH
ecg00298	AF,ARS
ecg00299	SR,CCR
ecg00300	TWC,SB,LVH,TWO
ecg00301	TWC,ST
ecg00302	SB
ecg00303	RBBB,AFIB
ecg00304	SB
ecg00305	STDD,SR,PWC,STTC,TWC
ecg00306	STTC,AF
ecg00307	TWC,AFIB,CCR
ecg00308	TWC,SB,LVH
ecg00309	APB,ST
ecg00310	SB,LVQRSAL
ecg00311	SB
ecg00312	STTC,SR
ecg00313	AQW,AFIB
ecg00314	LVH,SB
ecg00315	1AVB,SB
ecg00316	TWC,AFIB
ecg00317	TWC,AFIB
ecg00318	ERV,SB,LVH
ecg00319	TWC,AFIB,LVH
ecg00320	LVH,SB
ecg00321	SB
ecg00322	STTC,AFIB,IDC
ecg00323	SR
ecg00324	SB
ecg00325	ST,CCR
ecg00326	SR
ecg00327	SB
ecg00328	SB
ecg00329	SR
ecg00330	SB
ecg00331	ST
ecg00332	SR
ecg00333	TWC,SB
ecg00334	AF
ecg00335	STTC,AFIB
ecg00336	AF
ecg00337	SB
ecg00338	SB
ecg00339	SR
ecg00340	ST,ARS
ecg00341	PRIE,SB
ecg00342	STTC,AFIB,LVH
ecg00343	STTU,SB
ecg00344	SB
ecg00345	LVH,SR
ecg00346	SB
ecg00347	SB,ALS,LVQRSAL
ecg00348	LVH,SB
ecg00349	SB
ecg00350	SB,ALS
ecg00351	ST
ecg00352	LAFB,AFIB
ecg00353	SR
ecg00354	SB
ecg00355	SB
ecg00356	LVH,SB
ecg00357	SB
ecg00358	SR
ecg00359	STTU,SB,1AVB
ecg00360	ST
ecg00361	SR
ecg00362	RBBB,AFIB
ecg00363	IDC,AF,ALS,LAFB
ecg00364	AFIB
ecg00365	TWC,AF,IDC
ecg00366	LAFB,AF,VPB
ecg00367	AFIB
ecg00368	STTC,AFIB,RBBB
ecg00369	STTC,ST,APB,LVH
ecg00370	SR
ecg00371	AVB,AF
ecg00372	LVH,SB
ecg00373	STTC,ST
ecg00374	SB
ecg00375	STTC,ST
ecg00376	STTC,AFIB,LVH,VPB
ecg00377	SB
ecg00378	ST
ecg00379	SR
ecg00380	AFIB
ecg00381	TWC,AFIB
ecg00382	SB
ecg00383	LVH,ST
ecg00384	SB
ecg00385	TWC,ST
ecg00386	SB
ecg00387	1AVB,SB
ecg00388	STDD,SB,STTC,TWC
ecg00389	SB
ecg00390	IDC,AF,ALS,LAFB
ecg00391	SB
ecg00392	SB
ecg00393	SB
ecg00394	STTC,ST
ecg00395	SB
ecg00396	SB
ecg00397	SR
ecg00398	SB
ecg00399	SB
ecg00400	SB
ecg00401	1AVB,SB
ecg00402	VPB,SB
ecg00403	SB
ecg00404	SB
ecg00405	SB
ecg00406	TWC,SB,LVH
ecg00407	SB
ecg00408	AFIB,LVH
ecg00409	ST
ecg00410	ST
ecg00411	IDC,SB
ecg00412	TWC,AFIB
ecg00413	SB
ecg00414	SR
ecg00415	SB
ecg00416	SR
ecg00417	APB,SB
ecg00418	VPB,ST
ecg00419	LVH,SB
ecg00420	SR
ecg00421	STDD,ST,STTC
ecg00422	LVH,SB
ecg00423	TWC,SB
ecg00424	TWC,AFIB
ecg00425	AFIB,LVH
ecg00426	AFIB
ecg00427	SR
ecg00428	LVH,ST
ecg00429	STTC,AFIB,RBBB
ecg00430	1AVB,SR,RBBB
ecg00431	SB
ecg00432	SR
ecg00433	LVH,ST
ecg00434	SR
ecg00435	SR
ecg00436	SR
ecg00437	ST
ecg00438	AFIB
ecg00439	TWC,AFIB
ecg00440	ST
ecg00441	ST
ecg00442	SR
ecg00443	SB
ecg00444	SB
ecg00445	TWC,SB,IDC
ecg00446	AFIB
ecg00447	SR
ecg00448	SB
ecg00449	AQW,AF,TWC,TWO
ecg00450	LVH,SB
ecg00451	AFIB,LVH
ecg00452	AF
ecg00453	SR
ecg00454	TWC,SB
ecg00455	STTC,SB
ecg00456	TWC,ST,LVH
ecg00457	VPB,SB,LVH
ecg00458	AVB,AF
ecg00459	SR
ecg00460	AFIB,ALS
ecg00461	APB,SB
ecg00462	AFIB,ALS
ecg00463	TWC,SB
ecg00464	QTIE,AFIB,LVH
ecg00465	SB
ecg00466	LVH,SB
ecg00467	1AVB,ST
ecg00468	QTIE,AF,LVH,RBBB
ecg00469	LVH,SB
ecg00470	SB
ecg00471	ST
ecg00472	STTC,ST
ecg00473	SR
ecg00474	SB
ecg00475	TWC,SB
ecg00476	SB
ecg00477	SB
ecg00478	SB
ecg00479	SB
ecg00480	1AVB,SB
ecg00481	SB
ecg00482	APB,SB
ecg00483	SB
ecg00484	AFIB,ALS,CCR
ecg00485	AQW,AFIB,RBBB,TWC
ecg00486	TWC,ST
ecg00487	LVH,SB
ecg00488	SB
ecg00489	ST,LVQRSAL
ecg00490	SR
ecg00491	STDD,ST,ALS,STTC,STTU
ecg00492	SB
ecg00493	SB
ecg00494	SR
ecg00495	SB
ecg00496	SB
ecg00497	TWC,AF,AVB
ecg00498	LVH,SB
ecg00499	SR
ecg00500	SB
ecg00501	AF,VPB
ecg00502	SR
ecg00503	LVH,SB
ecg00504	TWC,SB,LVH
ecg00505	TWC,AFIB
ecg00506	VPB,ST
ecg00507	SR
ecg00508	TWC,SB,VPB
ecg00509	SB
ecg00510	SB
ecg00511	STTC,ST,LVH
ecg00512	STDD,AF,LVH,STTC,TWC
ecg00513	SR
ecg00514	TWC,SR
ecg00515	IDC,SB,LVH
ecg00516	SB
ecg00517	SB
ecg00518	SB
ecg00519	LVH,SB
ecg00520	APB,ST,CCR
ecg00521	RBBB,ST
ecg00522	SB
ecg00523	SR
ecg00524	AFIB,LVH,VPB
ecg00525	SB
ecg00526	SB
ecg00527	SR
ecg00528	LVH,SB
ecg00529	ST
ecg00530	1AVB,SB,RBBB
ecg00531	RBBB,SB
ecg00532	SB
ecg00533	SB
ecg00534	SB
ecg00535	STDD,AFIB,STTC,TWC
ecg00536	SB
ecg00537	SB
ecg00538	STTC,AFIB
ecg00539	TWC,SB,LVH
ecg00540	RBBB,ST
ecg00541	LVH,ST
ecg00542	SB
ecg00543	STTC,AFIB,VPB
ecg00544	STDD,AFIB,LVH,RBBB,STTC,TWC
ecg00545	STTC,SR
ecg00546	STDD,AFIB,STTC,TWC
ecg00547	RBBB,SB,LVQRSAL
ecg00548	ST,PWC
ecg00549	1AVB,SB
ecg00550	SB
ecg00551	SR
ecg00552	SB
ecg00553	SB
ecg00554	STTC,ST
ecg00555	SB
ecg00556	1AVB,SB
ecg00557	SR
ecg00558	TWC,SB,LVH
ecg00559	SB
ecg00560	TWC,SB,LVH,TWO
ecg00561	TWC,SB
ecg00562	SB
ecg00563	ST
ecg00564	LVH,SB
ecg00565	TWC,SB
ecg00566	TWC,SB,LVH
ecg00567	SB
ecg00568	SB
ecg00569	TWC,AF
ecg00570	SR
ecg00571	ERV,SR
ecg00572	ST
ecg00573	SB
ecg00574	AQW,AF,AVB,LVH,STTC
ecg00575	STTC,AFIB
ecg00576	SB,CCR
ecg00577	TWC,ST
ecg00578	TWC,SB
ecg00579	SR
ecg00580	SB
ecg00581	TWC,SB
ecg00582	AFIB
ecg00583	SB
ecg00584	SB
ecg00585	ST
ecg00586	SB
ecg00587	SB
ecg00588	SB
ecg00589	SB
ecg00590	RBBB,SB,LVH
ecg00591	TWC,SR
ecg00592	SB
ecg00593	ST
ecg00594	SB
ecg00595	STTC,AF
ecg00596	ST
ecg00597	AFIB
ecg00598	STTC,ST,LVH,PWC
ecg00599	ST
ecg00600	ST
ecg00601	SR
ecg00602	STDD,ST,STTC,STTU,TWC,TWO
ecg00603	LVH,SB
ecg00604	TWC,AF,LVH
ecg00605	SB
ecg00606	ST
ecg00607	SB
ecg00608	AFIB
ecg00609	ST
ecg00610	ST
ecg00611	SR
ecg00612	SR
ecg00613	SB
ecg00614	SB
ecg00615	SR
ecg00616	SR
ecg00617	SR
ecg00618	ST
ecg00619	ST
ecg00620	SB
ecg00621	VPB,SB
ecg00622	ST
ecg00623	STTC,AFIB
ecg00624	STTC,AFIB
ecg00625	STTC,AFIB,LVH,VPB
ecg00626	SR
ecg00627	ST
ecg00628	SB
ecg00629	ST
ecg00630	TWC,AFIB,ALS,LAFB,LVQRSAL
ecg00631	STTC,SR
ecg00632	TWC,SB
ecg00633	SR
ecg00634	SB
ecg00635	AF,LVH
ecg00636	STTC,ST
ecg00637	TWC,AFIB
ecg00638	LVH,SB
ecg00639	STTC,ST
ecg00640	SB
ecg00641	SB
ecg00642	SR
ecg00643	STDD,AFIB,LVH,TWC
ecg00644	STTU,SB,1AVB,TWC
ecg00645	SB
ecg00646	SB
ecg00647	1AVB,ST
ecg00648	SB
ecg00649	SR
ecg00650	TWC,AFIB,ARS
ecg00651	TWC,SB,CR
ecg00652	TWC,AFIB,LVH
ecg00653	SB
ecg00654	SB
ecg00655	STTC,AFIB
ecg00656	TWC,SB,LVH
ecg00657	ST,ARS
ecg00658	AVB,AF
ecg00659	TWC,ST
ecg00660	TWC,SB
ecg00661	ST
ecg00662	SB
ecg00663	ST
ecg00664	SB
ecg00665	AQW,ST,STDD,TWC
ecg00666	SB
ecg00667	SR
ecg00668	SR
ecg00669	STTC,AFIB,LVH
ecg00670	STTC,SB,1AVB,LVH
ecg00671	SR
ecg00672	TWC,SB
ecg00673	AFIB
ecg00674	SB
ecg00675	SR
ecg00676	STDD,AFIB,STTC,TWC
ecg00677	SB
ecg00678	TWC,ST,LVH
ecg00679	AFIB
ecg00680	AQW,SR,STDD,TWC
ecg00681	TWC,ST,APB,LAFB,RBBB
ecg00682	SB
ecg00683	SB
ecg00684	SB
ecg00685	ST
ecg00686	SB
ecg00687	SR
ecg00688	SR
ecg00689	AFIB,LVQRSAL
ecg00690	TWC,SB,APB,TWO
ecg00691	SB
ecg00692	ST
ecg00693	TWC,SR,APB
ecg00694	ST
ecg00695	1AVB,SR
ecg00696	SB
ecg00697	AFIB,LVH,VPB
ecg00698	TWC,SB
ecg00699	TWC,ST,CR,IDC,LAFB,TWO
ecg00700	ST
ecg00701	AFIB
ecg00702	SR
ecg00703	SR
ecg00704	SR
ecg00705	AFIB
ecg00706	TWC,SB,TWO
ecg00707	IDC,SB
ecg00708	SR
ecg00709	1AVB,ST
ecg00710	ST
ecg00711	SB
ecg00712	STTC,AFIB
ecg00713	SB
ecg00714	TWC,SB
ecg00715	SB
ecg00716	AFIB
ecg00717	SB,ALS
ecg00718	AFIB
ecg00719	QTIE,AFIB
ecg00720	SB,CCR
ecg00721	LVH,ST
ecg00722	SR
ecg00723	TWC,SB
ecg00724	STDD,AFIB,STTC,TWC
ecg00725	SB
ecg00726	ST
ecg00727	1AVB,SB
ecg00728	TWC,ST,ARS,PWC
ecg00729	SB
ecg00730	SR
ecg00731	AF,LVQRSAL
ecg00732	IDC,AFIB,LVQRSAL
ecg00733	SB
ecg00734	TWC,SB
ecg00735	STDD,AFIB,STTC,TWC
ecg00736	SB
ecg00737	SR
ecg00738	TWC,SB,1AVB
ecg00739	SR
ecg00740	STTC,AFIB
ecg00741	SB,CCR
ecg00742	AFIB,LVH
ecg00743	SR
ecg00744	SB
ecg00745	SB
ecg00746	SR
ecg00747	SR
ecg00748	ERV,SB
ecg00749	SB
ecg00750	SR,ARS
ecg00751	AFIB,LVH
ecg00752	LVH,SB
ecg00753	LVH,SB
ecg00754	TWC,SB
ecg00755	LVH,SB
ecg00756	LVH,SB
ecg00757	TWC,SB
ecg00758	SB
ecg00759	SB
ecg00760	ST
ecg00761	APB,ST,ALS
ecg00762	SR
ecg00763	SR
ecg00764	SR
ecg00765	SB
ecg00766	AFIB
ecg00767	SB
ecg00768	ST
ecg00769	STTC,ST
ecg00770	TWC,AFIB,LAFB,LVH
ecg00771	1AVB,ST
ecg00772	LVH,SB
ecg00773	AQW,SB,CCR,TWC
ecg00774	RAH,ST,ARS,CR
ecg00775	SB
ecg00776	SR
ecg00777	TWC,ST,LVH
ecg00778	STTC,SB
ecg00779	SB
ecg00780	STTC,SB
ecg00781	SR
ecg00782	SR
ecg00783	STDD,SB,STTC,TWC
ecg00784	ST
ecg00785	AFIB
ecg00786	1AVB,ST,LAFB
ecg00787	SB
ecg00788	TWC,AFIB,LVH
ecg00789	STTU,SB
ecg00790	ST
ecg00791	TWC,SB
ecg00792	LVH,SB
ecg00793	AQW,SB,LVH
ecg00794	SR
ecg00795	STTC,AFIB
ecg00796	STDD,AFIB,STTC,TWC
ecg00797	SR
ecg00798	AFIB
ecg00799	TWC,AFIB
ecg00800	RBBB,AFIB
ecg00801	AFIB,LVH
ecg00802	SR
ecg00803	AVB,AF
ecg00804	SB
ecg00805	TWC,SB
ecg00806	TWC,AFIB
ecg00807	AFIB
ecg00808	STTU,SB
ecg00809	SB,ARS
ecg00810	TWC,AFIB,IDC
ecg00811	1AVB,ST
ecg00812	ST
ecg00813	TWC,ST,APB,CR,RBBB
ecg00814	SB
ecg00815	AQW,AFIB,ALS
ecg00816	ST
ecg00817	AFIB
ecg00818	TWC,SB
ecg00819	RBBB,SB
ecg00820	AFIB
ecg00821	APB,SB,VPB
ecg00822	ST,ALS,PWC
ecg00823	AVB,AF
ecg00824	SR
ecg00825	SB
ecg00826	TWC,AFIB,LVH
ecg00827	ST
ecg00828	SR,ALS
ecg00829	SB
ecg00830	LVH,SB
ecg00831	SB
ecg00832	SR
ecg00833	1AVB,SB
ecg00834	STTC,AFIB,ALS,VPB
ecg00835	AQW,SB,ALS,TWC
ecg00836	TWC,SB
ecg00837	SB
ecg00838	SR
ecg00839	SR
ecg00840	SR
ecg00841	SB
ecg00842	TWC,AFIB,LVH
ecg00843	TWC,AFIB
ecg00844	STTC,AFIB,IDC
ecg00845	LAFB,SB,ALS
ecg00846	SR
ecg00847	RBBB,SB
ecg00848	ST
ecg00849	ST
ecg00850	STDD,AFIB,TWC
ecg00851	SB
ecg00852	TWC,SR
ecg00853	1AVB,SB
ecg00854	SB
ecg00855	STTC,ST,ALS,LAFB
ecg00856	SR
ecg00857	SB
ecg00858	AQW,AFIB,LAFB,STTC
ecg00859	STTU,SR,1AVB,ARS,TWC
ecg00860	TWC,SB,LVH
ecg00861	SB
ecg00862	SB
ecg00863	SR
ecg00864	SB
ecg00865	SB
ecg00866	TWC,AFIB,LVQRSAL
ecg00867	SR
ecg00868	SB
ecg00869	SR
ecg00870	AFIB
ecg00871	SB
ecg00872	STTC,SB
ecg00873	SR
ecg00874	SB
ecg00875	LVH,SB
ecg00876	TWC,ST,LVQRSAL
ecg00877	SR
ecg00878	SB
ecg00879	STTC,ST,LVQRSAL
ecg00880	STTC,AFIB,CCR,LVH
ecg00881	SR
ecg00882	SR
ecg00883	SR
ecg00884	AFIB
ecg00885	SB,ALS
ecg00886	ST
ecg00887	SR
ecg00888	LVH,ST
ecg00889	SB
ecg00890	SB
ecg00891	SB
ecg00892	SB
ecg00893	SB
ecg00894	TWC,AF,LVH
ecg00895	LVH,SB
ecg00896	SB
ecg00897	ST
ecg00898	SR
ecg00899	RBBB,SB
ecg00900	TWC,SR
ecg00901	SB
ecg00902	AFIB,LVH
ecg00903	SB
ecg00904	SR
ecg00905	SR
ecg00906	SR
ecg00907	STTC,SB
ecg00908	SB
ecg00909	STTC,SB
ecg00910	TWC,SB
ecg00911	ST,ARS
ecg00912	SB
ecg00913	LVH,SB
ecg00914	SR
ecg00915	STTC,SB
ecg00916	SR
ecg00917	STDD,AFIB,STTC,TWO
ecg00918	TWC,SB
ecg00919	AFIB
ecg00920	AQW,AF,AVB
ecg00921	LVH,SB
ecg00922	ST
ecg00923	TWC,AF,VPB
ecg00924	TWC,SB,CCR
ecg00925	AF
ecg00926	TWC,SR
ecg00927	SB
ecg00928	SR
ecg00929	SR
ecg00930	SR
ecg00931	SB
ecg00932	LAFB,AFIB,IDC
ecg00933	STTC,ST
ecg00934	TWC,AF,AVB
ecg00935	SB
ecg00936	TWC,ST
ecg00937	TWC,AFIB,LVH
ecg00938	SB
ecg00939	ST
ecg00940	TWC,SB
ecg00941	RBBB,ST
ecg00942	AFIB
ecg00943	SR,ALS
ecg00944	APB,SB
ecg00945	TWC,SB
ecg00946	SB
ecg00947	AFIB
ecg00948	STTC,ST
ecg00949	STTC,SR
ecg00950	SB
ecg00951	SB
ecg00952	SR
ecg00953	SR
ecg00954	SR
ecg00955	TWC,SR
ecg00956	SB
ecg00957	APB,SB
ecg00958	ST
ecg00959	SR
ecg00960	SB
ecg00961	STTC,SB
ecg00962	SB,PWC
ecg00963	ST
ecg00964	SR
ecg00965	AVB,AF,ARS
ecg00966	SB
ecg00967	TWC,AFIB
ecg00968	ST
ecg00969	SB
ecg00970	SB
ecg00971	AQW,AFIB,STTU,TWC
ecg00972	ST
ecg00973	SB
ecg00974	ST
ecg00975	SB
ecg00976	AFIB
ecg00977	AFIB
ecg00978	QTIE,AF,AVB
ecg00979	AQW,AFIB,STTC
ecg00980	SR
ecg00981	SR
ecg00982	SR
ecg00983	TWC,AFIB
ecg00984	SB
ecg00985	AFIB,ALS,VPB
ecg00986	TWC,ST
ecg00987	SB
ecg00988	SR
ecg00989	SR
ecg00990	SR
ecg00991	SR
ecg00992	STTC,ST
ecg00993	STTC,AFIB,LVH
ecg00994	SR
ecg00995	LAFB,AF,ALS
ecg00996	SB
ecg00997	SR
ecg00998	TWC,ST
ecg00999	SB
ecg01000	AFIB
ecg01001	SR
ecg01002	AFIB
ecg01003	SR
ecg01004	APB,SB,LVH
ecg01005	TWC,SR
ecg01006	SB
ecg01007	SB
ecg01008	SB
ecg01009	RBBB,SB
ecg01010	SB
ecg01011	AFIB
ecg01012	TWC,SR
ecg01013	TWC,AFIB
ecg01014	STDD,AFIB,TWO
ecg01015	ST
ecg01016	SB
ecg01017	SB
ecg01018	STDD,AFIB,LVH,STTC,TWO
ecg01019	AFIB,LVH
ecg01020	TWC,AFIB
ecg01021	SB,ARS
ecg01022	STTC,SB,LVH
ecg01023	SR
ecg01024	LVH,SB
ecg01025	AVB,AF,RBBB
ecg01026	AFIB,VPB
ecg01027	SR
ecg01028	SB
ecg01029	TWC,SB,LVH
ecg01030	RBBB,SB
ecg01031	RBBB,AFIB
ecg01032	SR
ecg01033	SR
ecg01034	SR
ecg01035	STTC,AFIB
ecg01036	SR
ecg01037	SB
ecg01038	SR
ecg01039	TWC,ST,APB,LVQRSAL
ecg01040	SB
ecg01041	SB
ecg01042	STTC,AFIB,ALS,LVH,TWO
ecg01043	SB
ecg01044	AF
ecg01045	AQW,AFIB,STDD,STTC,TWC
ecg01046	LVH,SB
ecg01047	AFIB
ecg01048	TWC,SR,LVH
ecg01049	TWC,SB
ecg01050	SB
ecg01051	SB
ecg01052	SB
ecg01053	SB
ecg01054	SB
ecg01055	TWC,SB,LVH
ecg01056	SB
ecg01057	STTC,ST
ecg01058	ST
ecg01059	STDD,ST,STTC
ecg01060	SB
ecg01061	STTC,ST
ecg01062	SR
ecg01063	TWC,SR,LVH
ecg01064	LVH,SB
ecg01065	STDD,ST,1AVB,STTC,TWC
ecg01066	AVB,AF,LVH
ecg01067	AFIB
ecg01068	LAFB,AFIB,ALS,LVQRSAL
ecg01069	ST
ecg01070	SB
ecg01071	RBBB,SB
ecg01072	TWC,AFIB,RBBB,VPB
ecg01073	SB
ecg01074	TWC,ST,APB
ecg01075	STDD,ST,1AVB,STTC
ecg01076	SR
ecg01077	SR
ecg01078	SR,FQRS
ecg01079	AQW,SB,LVH
ecg01080	SR
ecg01081	SR
ecg01082	STDD,AF,STTC,STTU
ecg01083	SB
ecg01084	SB
ecg01085	SB,ALS
ecg01086	LAFB,SB
ecg01087	SR
ecg01088	AQW,SB,ALS,MI,MI_LAT,PWC,TWC
ecg01089	SR
ecg01090	SB
ecg01091	LAFB,AFIB
ecg01092	ST
ecg01093	STTC,ST
ecg01094	SR
ecg01095	LVH,SB
ecg01096	STTU,SB
ecg01097	LVH,SB
ecg01098	SB
ecg01099	AVB,AF
ecg01100	SR
ecg01101	STDD,SB,STTC,TWC
ecg01102	STTC,AFIB,LVH,VPB
ecg01103	ST
ecg01104	TWC,SB,LVH
ecg01105	TWC,AFIB
ecg01106	TWC,SB
ecg01107	VPB,SB
ecg01108	SB
ecg01109	LVH,SB
ecg01110	LVH,SB
ecg01111	STTC,SR
